,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps
15,16,143,75,68,20.93,42,22,20,19.81,91528,48520,20120,11592,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1830560.0,970400.0,402400.0,231840.0
16,17,142,67,75,21.97,39,21,18,20.36,88936,36256,21592,11312,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1778720.0,725120.0,431840.0,226240.0
17,18,136,70,66,22.24,40,21,19,20.6,81632,37960,24136,11984,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1632640.0,759200.0,482720.0,239680.0
18,19,147,78,69,20.56,38,19,19,20.74,75632,37680,25048,10728,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1512640.0,753600.0,500960.0,214560.0
19,20,143,73,70,21.02,41,21,20,20.2,79040,35672,25456,11472,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1580800.0,713440.0,509120.0,229440.0
20,1,88,62,26,20.91,24,18,6,20.96,128312,84256,32712,27696,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2566240.0,1685120.0,654240.0,553920.0
21,2,86,62,24,21.14,26,19,7,20.35,119480,81312,37136,28336,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2389600.0,1626240.0,742720.0,566720.0
22,3,87,64,23,20.14,26,19,7,19.96,117472,81360,35616,27328,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2349440.0,1627200.0,712320.0,546560.0
23,4,87,62,25,20.69,25,18,7,20.16,122816,83312,34824,26152,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2456320.0,1666240.0,696480.0,523040.0
24,5,92,59,33,21.15,24,17,7,21.33,123600,81520,35272,26472,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2472000.0,1630400.0,705440.0,529440.0
25,6,94,60,34,20.48,25,18,7,18.92,120752,77552,31712,22464,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2415040.0,1551040.0,634240.0,449280.0
26,7,89,59,30,20.2,28,17,11,19.61,107264,73840,36440,19672,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2145280.0,1476800.0,728800.0,393440.0
27,8,86,61,25,19.59,28,16,12,19.82,113384,77968,36784,19856,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2267680.0,1559360.0,735680.0,397120.0
28,9,86,60,26,20.56,26,15,11,20.38,113552,79432,34984,19792,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2271040.0,1588640.0,699680.0,395840.0
29,10,88,59,29,20.08,26,16,10,20.12,118504,76056,36944,21736,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2370080.0,1521120.0,738880.0,434720.0
30,11,90,60,30,20.42,26,18,8,20.19,124536,80704,38888,24144,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2490720.0,1614080.0,777760.0,482880.0
31,12,85,58,27,21.31,26,18,8,20.77,117408,79256,39656,24528,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2348160.0,1585120.0,793120.0,490560.0
32,13,88,60,28,20.42,25,17,8,22.32,123920,80968,38840,25472,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2478400.0,1619360.0,776800.0,509440.0
33,14,82,60,22,19.96,22,17,5,20.14,114712,77544,33056,24928,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2294240.0,1550880.0,661120.0,498560.0
34,15,81,61,20,19.99,21,17,4,21.48,112968,76192,34352,27832,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2259360.0,1523840.0,687040.0,556640.0
35,16,82,58,24,20.71,21,17,4,20.0,115720,75424,31384,24864,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2314400.0,1508480.0,627680.0,497280.0
36,17,84,63,21,19.86,22,18,4,19.77,113304,80968,32096,25960,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2266080.0,1619360.0,641920.0,519200.0
